order,seasonal_order,MSE
"(1, 0, 1)","(1, 1, 0, 6)",217317762.93448266
"(2, 1, 1)","(1, 1, 0, 6)",221148509.95689094
"(1, 0, 2)","(1, 1, 0, 6)",221687717.2418093
"(2, 1, 2)","(1, 1, 0, 6)",222331838.0566329
"(1, 1, 2)","(1, 1, 0, 6)",223682942.82293603
