Date,TCN_Forecast
2026-04-01,277506.8254606485
2026-05-01,219516.61099199633
2026-06-01,249384.7988802904
2026-07-01,261815.6286375164
2026-08-01,218038.53422899498
2026-09-01,234352.1161501385
2026-10-01,259337.29344470374
2026-11-01,229212.17830072026
2026-12-01,226726.61080854456
2027-01-01,185065.025659767
2027-02-01,213234.53860181593
2027-03-01,255054.95906332834
2027-04-01,256563.265292891
