order,seasonal_order,MSE
"(2, 0, 2)","(0, 1, 0, 12)",107475058.05777773
"(2, 0, 1)","(0, 1, 0, 12)",118252946.6182261
"(2, 0, 2)","(1, 1, 0, 12)",124250464.92861733
"(2, 0, 1)","(1, 1, 0, 12)",124946052.79783763
"(2, 1, 1)","(1, 1, 0, 12)",125198227.49693339
