order,seasonal_order,MSE
"(1, 0, 2)","(1, 1, 0, 12)",131711251.53744465
"(2, 0, 2)","(1, 1, 0, 12)",131858534.00787862
"(1, 0, 0)","(0, 0, 1, 3)",132210703.31294288
"(1, 0, 1)","(0, 0, 1, 3)",132319379.2290243
"(2, 0, 0)","(0, 0, 1, 3)",132438975.33513485
