order,MSE
"(3, 0, 1)",266600.6977373382
"(3, 0, 2)",267409.00945175556
"(2, 0, 1)",268840.9281372908
"(1, 0, 3)",269117.93050782895
"(2, 0, 3)",269276.0255488024
