order,seasonal_order,MSE
"(2, 0, 1)","(1, 1, 1, 12)",141550878.2924624
"(2, 0, 1)","(0, 0, 1, 3)",141595787.47710422
"(2, 0, 1)","(0, 1, 1, 12)",141932526.22419646
"(2, 0, 1)","(1, 0, 0, 12)",141981083.12203118
"(2, 0, 1)","(0, 0, 1, 12)",142231773.76960588
