order,MSE
"(0, 1, 1)",12339696.599237368
"(2, 1, 0)",13305424.486939657
"(3, 1, 3)",13401484.753818126
"(3, 1, 0)",13447661.062217966
"(2, 1, 1)",13533222.4249631
