order,seasonal_order,MSE
"(2, 0, 2)","(1, 1, 0, 3)",622135856.4794302
"(1, 1, 2)","(1, 1, 0, 12)",664048493.5135683
"(0, 0, 2)","(1, 1, 0, 3)",686156049.3002167
"(2, 1, 2)","(1, 1, 0, 3)",700332030.7949145
"(1, 1, 2)","(1, 1, 0, 3)",703169528.5305976
