order,seasonal_order,MSE
"(2, 0, 0)","(0, 1, 0, 12)",4214219979.137359
"(2, 1, 1)","(0, 1, 0, 12)",4227449305.0117908
"(2, 0, 0)","(1, 1, 0, 12)",4233105773.517532
"(0, 0, 2)","(0, 1, 0, 12)",4235678275.0058184
"(2, 1, 1)","(1, 1, 0, 12)",4248550295.8852067
