order,seasonal_order,MSE
"(2, 1, 1)","(1, 1, 1, 6)",82645875.46048549
"(2, 1, 2)","(1, 1, 1, 6)",82760016.35992855
"(2, 1, 1)","(0, 1, 1, 6)",84625986.205475
"(2, 1, 2)","(0, 1, 1, 6)",84776063.72757533
"(2, 1, 2)","(1, 1, 1, 3)",85266873.7652667
