order,seasonal_order,MSE
"(0, 0, 0)","(0, 0, 0, 6)",140022707.31747964
"(0, 0, 0)","(0, 0, 0, 12)",140022707.31747964
"(0, 0, 0)","(0, 0, 0, 3)",140022707.31747964
"(0, 0, 0)","(0, 0, 1, 6)",198455993.95821807
"(0, 0, 0)","(0, 0, 1, 3)",215457535.46978548
