number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_factor,params_kernel_size,params_l1_lambda,params_lr,params_num_channels,params_patience,params_seq_len,params_wd,state
25,inf,2026-02-12 10:49:20.275063,2026-02-12 10:49:20.491016,0 days 00:00:00.215953,16,0.2605320905602303,0.39927381705910914,3,7.220314974094566e-05,0.01562873377068104,[256],10,18,1.6674497136310972e-05,COMPLETE
26,inf,2026-02-12 10:49:20.703222,2026-02-12 10:49:20.749474,0 days 00:00:00.046252,16,0.23786210067554142,0.46851089580354444,5,0.0017322049899723922,0.030407251678617304,[64],10,12,1.903552296426471e-05,COMPLETE
27,inf,2026-02-12 10:49:20.720077,2026-02-12 10:49:20.969000,0 days 00:00:00.248923,16,0.18093182781958048,0.3540955602266169,2,0.0006265280670967892,0.042353711263530346,"[256, 256]",10,18,6.675879762357097e-05,COMPLETE
28,inf,2026-02-12 10:49:21.191503,2026-02-12 10:49:21.245406,0 days 00:00:00.053903,16,0.12055566936467917,0.43358426987949317,2,4.343053370684383e-05,0.0390273355757796,"[64, 64]",10,24,4.005492848872211e-05,COMPLETE
29,inf,2026-02-12 10:49:21.223193,2026-02-12 10:49:21.453493,0 days 00:00:00.230300,64,0.16739341644370456,0.4260622810509182,2,0.0001821339325112361,0.018531512225611457,"[256, 256, 256]",10,18,1.7347486727372675e-05,COMPLETE
30,inf,2026-02-12 10:49:21.454495,2026-02-12 10:49:21.485238,0 days 00:00:00.030743,32,0.26875095291551054,0.4872500854971474,4,7.086872997898754e-05,0.0009105838414484274,[128],10,18,5.828244105637156e-05,COMPLETE
31,inf,2026-02-12 10:49:21.721320,2026-02-12 10:49:21.741400,0 days 00:00:00.020080,64,0.34042257535528014,0.4871984241088625,2,0.0031643358610805514,0.02054997418880333,"[256, 256, 256]",5,18,3.5278120278061107e-06,COMPLETE
32,inf,2026-02-12 10:49:22.004080,2026-02-12 10:49:22.295231,0 days 00:00:00.291151,32,0.30251066330864895,0.434735280348519,4,4.6812439682355085e-05,0.00709603194456794,"[128, 128]",10,12,1.2506099502262876e-05,COMPLETE
33,inf,2026-02-12 10:49:22.508437,2026-02-12 10:49:22.552051,0 days 00:00:00.043614,16,0.2516384579054562,0.458618141511649,4,3.9781220971008856e-05,0.014234866241429564,"[128, 128, 128]",5,24,1.2789668364662232e-06,COMPLETE
34,inf,2026-02-12 10:49:22.791567,2026-02-12 10:49:23.075124,0 days 00:00:00.283557,64,0.12845210811242175,0.39757001119021834,4,2.2212489725605283e-05,0.003008785920435408,[128],5,24,1.8284627577421438e-06,COMPLETE
