order,seasonal_order,MSE
"(2, 1, 2)","(1, 1, 0, 12)",70478201.94867058
"(2, 0, 2)","(1, 1, 0, 12)",72322627.87540528
"(2, 0, 1)","(1, 1, 0, 12)",72359226.79880507
"(2, 1, 1)","(1, 1, 0, 12)",72577404.59245288
"(0, 0, 2)","(1, 1, 0, 12)",72866105.06030238
