order,MSE
"(1, 1, 2)",40614084.44858539
"(0, 1, 1)",42306508.99603406
"(3, 0, 3)",42603822.83492619
"(0, 0, 0)",42609042.17440852
"(2, 1, 3)",42809952.00390357
