order,seasonal_order,MSE
"(1, 1, 2)","(0, 1, 1, 6)",4213884390.265216
"(1, 1, 2)","(1, 1, 1, 3)",4220554446.2292223
"(1, 1, 2)","(1, 1, 1, 6)",4225067474.583181
"(2, 1, 1)","(1, 1, 1, 3)",4414157469.080519
"(2, 1, 1)","(0, 1, 1, 3)",4422579506.936213
