order,seasonal_order,MSE
"(2, 1, 1)","(0, 1, 0, 12)",408425.0172585943
"(1, 1, 1)","(0, 1, 0, 12)",410159.8079645182
"(0, 1, 2)","(0, 1, 0, 12)",410212.44445569575
"(2, 0, 0)","(0, 1, 0, 12)",412352.60040985356
"(1, 0, 0)","(0, 1, 0, 12)",413438.1931738262
