order,MSE
"(2, 1, 0)",228201728.12161595
"(3, 1, 0)",241233934.5176472
"(1, 1, 0)",383430419.4363922
"(3, 1, 1)",501288922.5645127
"(3, 1, 2)",506333626.0310429
