order,seasonal_order,MSE
"(2, 0, 2)","(1, 0, 0, 6)",7863955.516751719
"(2, 0, 2)","(0, 0, 1, 6)",7903497.344651198
"(2, 0, 2)","(1, 0, 1, 6)",7939317.854096318
"(2, 0, 2)","(0, 1, 1, 6)",7993251.51907633
"(2, 0, 2)","(0, 0, 1, 12)",8034747.622373097
