order,seasonal_order,MSE
"(2, 1, 0)","(0, 1, 0, 12)",64017334.32997497
"(2, 1, 0)","(1, 1, 0, 6)",81796746.3593472
"(1, 1, 0)","(0, 1, 0, 12)",82885234.69175862
"(2, 1, 0)","(1, 1, 0, 12)",89642555.71592993
"(2, 1, 2)","(0, 1, 0, 3)",91717230.2515152
