order,seasonal_order,MSE
"(1, 1, 2)","(0, 1, 0, 6)",260179272.07563278
"(1, 1, 2)","(1, 1, 0, 6)",266893810.15193745
"(2, 1, 2)","(1, 1, 0, 6)",269781694.9297435
"(2, 1, 2)","(0, 1, 0, 6)",271662567.73134893
"(2, 1, 1)","(0, 1, 0, 6)",277078051.9564886
