order,seasonal_order,MSE
"(0, 1, 1)","(1, 0, 1, 12)",200569.33731175534
"(0, 0, 0)","(1, 0, 1, 6)",213545.12391210656
"(0, 1, 1)","(0, 0, 1, 12)",213747.44684746268
"(0, 0, 0)","(0, 0, 1, 6)",216326.5151681627
"(0, 1, 1)","(1, 0, 1, 6)",219673.8422553336
