order,seasonal_order,MSE
"(0, 0, 0)","(1, 0, 1, 3)",289781.7462859204
"(0, 0, 0)","(0, 0, 1, 12)",296303.16029174766
"(0, 0, 1)","(1, 0, 0, 12)",296971.1099693803
"(1, 0, 0)","(1, 0, 0, 12)",297013.6460194343
"(0, 0, 0)","(1, 0, 0, 12)",297420.8332611255
