order,seasonal_order,MSE
"(1, 0, 0)","(0, 0, 0, 3)",1265531845.7633312
"(1, 0, 0)","(0, 0, 0, 6)",1265531845.7633312
"(1, 0, 0)","(0, 0, 0, 12)",1265531845.7633312
"(0, 0, 1)","(0, 0, 0, 12)",1266286182.0770502
"(0, 0, 1)","(0, 0, 0, 3)",1266286182.0770502
