Date,BIR,BOC,Other Offices,Non-tax Revenues,Expenditures,Tax Revenues
06/30/2023,714029,219604,6998,100817.81,1322280,940631
09/30/2023,638841,226955,8344,103550,1409448,874140
12/31/2023,658957,222826,5664,98834,1514893,887447
03/31/2024,591769,218852,9745,113374,1206384,820366
06/30/2024,770252,236666,8086,200805,1557072,1015004
09/30/2024,732613,235158,8728,166865,1499681,976499
12/31/2024,756969,225998,5857,137286,1662244,988824
03/31/2025,690409,231378,9733,66647,1444196,931520
06/30/2025,863755,227393,9845,161058,1581515,1100993
09/30/2025,768327,242900,8913,86367,1458272,1020140
12/31/2025,787337,231001,6179,62190,1546291,1024517
