order,seasonal_order,MSE
"(2, 0, 2)","(1, 1, 1, 6)",3398229552.074651
"(2, 0, 2)","(0, 0, 1, 6)",3420382620.3477764
"(2, 0, 2)","(1, 0, 0, 6)",3435107292.693433
"(2, 0, 2)","(1, 0, 1, 6)",3453007881.7291145
"(2, 0, 2)","(1, 0, 1, 3)",3474343512.6568975
