Unnamed: 3,Inflation,Population,GDP,Imports,Exports,Agriculture,Industry,Services,USDPHP,Nominal GDP,Imports_PHPMN,Exports_PHPMN,TotalTrade,TotalTrade_PHPMN,NominalGDP_disagg,Pop_disagg,Non-tax Revenues
01/09/1996,6.7,,1417167.31,2870.06,1875.57,14,34.87,51.13,26.2356,614449,75297.74614,49206.70429,4745.63,124504.4504,210802.3663,68958995.75,4604
01/10/1996,6.7,,,2858.51,1883.71,,,,26.2693,,75091.05674,49483.7431,4742.22,124574.7998,206330.3023,68948852.63,1307
01/11/1996,6.6,,,2711.55,1849.91,,,,26.2658,,71221.02999,48589.36608,4561.46,119810.3961,201671.2025,68942090.54,1756
01/12/1996,7.4,70546246,1626238.39,2718.24,1883.27,16.67,32.74,50.6,26.2925,697344,71469.3252,49515.87648,4601.51,120985.2017,236855.1625,70869918.95,3960
01/01/1997,5.4,,,2837.89,1692.26,,,,26.3173,,74685.6025,44535.7141,4530.15,119221.3166,232686.0329,70697853.08,2178
01/02/1997,5.2,,,2626.54,1812.42,,,,26.3411,,69185.95279,47741.13646,4438.96,116927.0892,231052.1586,70658303.4,2514
01/03/1997,5.5,,1464530.75,2935.16,2001.02,16.67,32.77,50.56,26.3319,636625,77288.3396,52690.65854,4936.18,129978.9981,222005.4388,70622349.16,6403
01/04/1997,5.2,,,2942.08,2082.43,,,,26.3642,,77565.58554,54901.60101,5024.51,132467.1865,215944.6094,70589990.33,2209
01/05/1997,5,,,2954.37,1982.88,,,,26.3721,,77912.94108,52292.70965,4937.25,130205.6507,210076.0393,70561226.94,1498
01/06/1997,5.6,,1503061.59,3032.34,2129.08,15.27,33.08,51.66,26.3761,665182,79981.30307,56156.82699,5161.42,136138.1301,226843.5414,70536058.96,3606
01/07/1997,5.6,,,3169.2,2067.14,,,,27.6679,,87685.10868,57193.42281,5236.34,144878.5315,227428.7286,70514486.41,6927
01/08/1997,5.4,,,3327.94,2257.97,,,,29.3305,,97610.14417,66227.38909,5585.91,163837.5333,230157.903,70496509.29,1818
01/09/1997,5.7,,1503253.17,2956.48,2337.47,13.28,35.36,51.36,32.3945,678133,95773.69136,75721.17192,5293.95,171494.8633,236545.7549,70482127.59,9986
01/10/1997,5.9,,,3413.8,2326.05,,,,34.4639,,117652.8618,80164.7546,5739.85,197817.6164,238218.3488,70471341.32,3606
01/11/1997,6.7,,,2945.29,2308.43,,,,34.5178,,101664.9312,79681.92505,5253.72,181346.8563,215761.8586,70464150.47,5669
01/12/1997,6.5,72190242,1717089.46,2792.73,2230.56,16.65,32.97,50.38,37.1706,793435,103807.4497,82911.25354,5023.29,186718.7032,261401.142,72539791.58,13264
01/01/1998,6.6,,,2837.9,2114.81,,,,42.661,,121067.6519,90219.90941,4952.71,211287.5613,274067.7823,72353969.58,1797
01/02/1998,7.7,,,2585.23,2227.2,,,,40.4143,,104480.2608,90010.72896,4812.43,194490.9898,254158.4648,72311258.04,2427
01/03/1998,8.2,,1539321.16,2613.6,2474.18,15.65,32.73,51.62,39.004,705979,101940.8544,96502.91672,5087.78,198443.7711,220115.2852,72272429.36,4203
01/04/1998,8.7,,,2457.46,2284.5,,,,38.4422,,94470.16881,87821.2059,4741.96,182291.3747,224460.7603,72237483.55,3288
01/05/1998,9.8,,,2624.02,2414.74,,,,39.2971,,103116.3763,94892.27925,5038.76,198008.6556,244736.8486,72206420.61,2700
01/06/1998,10.2,,1593749.81,2260.74,2389.57,13.34,32.55,54.1,40.3991,738060,91331.86133,96536.47739,4650.31,187868.3387,252654.9203,72179240.54,2419
01/07/1998,10.1,,,2465.59,2501.37,,,,41.7805,,103013.583,104508.4893,4966.96,207522.0723,255099.0625,72155943.34,10190
01/08/1998,10.1,,,2508.47,2652.45,,,,43.0375,,107958.2776,114154.8169,5160.92,222113.0945,249765.6508,72136529,4956
01/09/1998,10.2,,1573879.49,2454.45,2786.32,13.06,34.2,52.74,43.7759,748152,107445.7578,121973.6657,5240.77,229419.4235,252379.0111,72120997.53,4109
01/10/1998,10,,,2417.41,2542.3,,,,42.8882,,103678.3636,109034.6709,4959.71,212713.0345,244375.6111,72109348.93,3478
01/11/1998,10.6,,,2373.4,2585.82,,,,39.9435,,94801.9029,103286.7012,4959.22,198088.6041,245171.4793,72101583.19,246
01/12/1998,10,73908810,1801916.29,2061.61,2523.08,15.79,31.84,52.37,39.0733,854030,80553.90601,98585.06176,4584.69,179138.9678,280781.0634,74271251.46,6117
01/01/1999,10.7,,,2399.85,2580.78,,,,38.4043,,92164.55936,99113.04935,4980.63,191277.6087,287490.85,74078576.08,2834
01/02/1999,9.3,,,2256.56,2569.33,,,,38.7799,,87509.17114,99638.36047,4825.89,187147.5316,283003.5981,74034289.28,2979
01/03/1999,7.9,,1567553.34,2656.3,2702.33,16.49,30.51,53,38.9108,767405,103358.758,105149.8222,5358.63,208508.5802,259035.4085,73994028.55,5643
01/04/1999,7.4,,,2599.21,2345.95,,,,38.2417,,99398.20906,89713.11612,4945.16,189111.3252,251663.6936,73957793.89,2473
01/05/1999,6.1,,,2533.48,2746.9,,,,37.8385,,95863.08298,103938.5757,5280.38,199801.6587,259939.3147,73925585.3,3035
01/06/1999,5.3,,1580092.87,2670.94,2857.2,14.55,30.8,54.65,37.8993,810836,101226.7563,108285.88,5528.14,209512.6363,284553.64,73897402.79,11823
01/07/1999,5.1,,,2791.64,2851.06,,,,38.2798,,106863.4209,109138.0066,5642.7,216001.4275,276107.9536,73873246.35,3795
01/08/1999,4.8,,,2661.46,3211.54,,,,39.261,,104491.5811,126088.2719,5873,230579.853,273248.6628,73853115.99,3250
01/09/1999,4.9,,1579892.32,2555.3,3693.28,13.7,33.07,53.24,40.1738,825523,102656.1111,148373.0921,6248.58,251029.2032,285037.8398,73837011.7,3064
01/10/1999,5.1,,,2612.62,3459.67,,,,40.315,,105327.7753,139476.5961,6072.29,244804.3714,276602.8153,73824933.48,2584
01/11/1999,3.9,,,2351.64,3075.37,,,,40.3409,,94867.27408,124063.1936,5427.01,218930.4677,268202.2881,73816881.33,1706
01/12/1999,3.9,75791024,1747866.75,2653.47,2943.51,16.66,30.83,52.51,40.6232,943824,107792.4425,119574.7954,5596.98,227367.2379,321935.8917,76193376.93,3630
01/01/2000,5.5,,,2900.85,2716.57,,,,40.4266,,117271.5026,109821.6888,5617.42,227093.1914,317082.1827,75979484.45,1432
01/02/2000,5.6,,,2775.14,2902.31,,,,40.5717,,112592.1475,117751.6506,5677.45,230343.7981,315180.7231,75930320.86,1850
01/03/2000,5.9,,1581132.24,2908.07,2988.52,15.88,31.69,52.43,40.9381,850396,119050.8605,122344.3306,5896.59,241395.1911,280534.3349,75885626.68,7842
01/04/2000,6.2,,,2728.17,2667.59,,,,41.1884,,112368.9572,109873.764,5395.76,222242.7212,278697.8599,75845401.92,4514
01/05/2000,6.5,,,2641.93,2930.83,,,,41.8063,,110449.3182,122527.1582,5572.76,232976.4764,287294.16,75809646.57,2763
01/06/2000,6.1,,1634431.66,2730.33,3410.27,14.74,31.56,53.7,42.6489,904732,116445.5711,145444.2642,6140.6,261889.8353,325848.8981,75778360.65,3843
01/07/2000,6.5,,,2855.65,3219.4,,,,44.3557,,126664.3547,142798.7406,6075.05,269463.0953,309763.0886,75751544.14,4715
