order,seasonal_order,MSE
"(1, 1, 2)","(1, 1, 0, 6)",426979234.3859631
"(2, 1, 0)","(1, 1, 0, 6)",427150302.1734503
"(2, 1, 0)","(0, 1, 0, 12)",440226001.46957207
"(0, 1, 1)","(1, 1, 0, 6)",446611045.86210495
"(0, 0, 0)","(1, 1, 0, 6)",448120092.3690073
