order,seasonal_order,MSE
"(1, 0, 2)","(0, 1, 0, 6)",94628.98058787912
"(1, 0, 1)","(0, 1, 0, 6)",94813.63265930496
"(2, 0, 1)","(0, 1, 0, 6)",94818.4071878371
"(2, 0, 1)","(1, 1, 0, 6)",95253.57329090513
"(1, 0, 1)","(1, 1, 0, 6)",95362.14413986218
