order,MSE
"(0, 1, 0)",5764600879.688477
"(0, 0, 1)",6102857895.315771
"(1, 0, 0)",6103681974.689078
"(0, 0, 3)",6118115660.859176
"(0, 0, 0)",6119181802.288412
