order,seasonal_order,MSE
"(0, 0, 2)","(0, 0, 1, 3)",15189151.901651353
"(0, 0, 0)","(0, 0, 0, 6)",15273752.088249287
"(0, 0, 0)","(0, 0, 0, 12)",15273752.088249287
"(0, 0, 0)","(0, 0, 0, 3)",15273752.088249287
"(0, 0, 0)","(0, 0, 1, 3)",16628387.744140418
