order,seasonal_order,MSE
"(2, 1, 2)","(0, 1, 0, 12)",756384279.0219398
"(2, 1, 0)","(0, 1, 1, 12)",763850672.3161116
"(2, 1, 0)","(1, 1, 1, 12)",817077228.6161987
"(0, 1, 1)","(0, 1, 0, 12)",822511351.188263
"(1, 1, 2)","(1, 1, 0, 6)",826677255.7255
