order,seasonal_order,MSE
"(2, 0, 1)","(1, 1, 0, 12)",454029636.0308364
"(0, 0, 1)","(1, 1, 0, 12)",464158525.87143934
"(2, 0, 0)","(1, 1, 0, 12)",469953453.0149482
"(0, 0, 2)","(1, 1, 0, 12)",470422000.1641958
"(1, 0, 0)","(1, 1, 0, 12)",471415083.57621694
