order,seasonal_order,MSE
"(2, 0, 2)","(0, 1, 0, 3)",142383.5077955441
"(2, 1, 2)","(1, 1, 0, 3)",143166.7185388534
"(1, 0, 1)","(1, 1, 0, 3)",145073.49369555604
"(1, 0, 2)","(1, 1, 0, 3)",145160.34469953
"(2, 0, 1)","(1, 1, 0, 3)",145361.5177893297
