Feb-16,91.6
Mar-16,91.6
Apr-16,91.8
May-16,92
Jun-16,92.3
Jul-16,92.5
Aug-16,92.5
Sep-16,92.7
Oct-16,92.8
Nov-16,93.4
Dec-16,93.7
Jan-17,94
Feb-17,94.4
Mar-17,94.4
Apr-17,94.7
May-17,94.6
Jun-17,94.6
Jul-17,94.7
Aug-17,94.9
Sep-17,95.5
Oct-17,95.7
Nov-17,96.2
Dec-17,96.4
Jan-18,97.2
Feb-18,97.9
Mar-18,98.4
Apr-18,98.8
May-18,99
Jun-18,99.4
Jul-18,100.2
Aug-18,101.1
Sep-18,102.1
Oct-18,102.3
Nov-18,102
Dec-18,101.4
Jan-19,101.5
Feb-19,101.6
Mar-19,101.7
Apr-19,102
May-19,102.2
Jun-19,102.1
Jul-19,102.4
Aug-19,102.5
Sep-19,102.6
Oct-19,102.9
Nov-19,103.2
Dec-19,103.8
Jan-20,104.5
Feb-20,104.1
Mar-20,103.9
Apr-20,103.8
May-20,103.8
Jun-20,104.4
Jul-20,104.9
Aug-20,104.8
Sep-20,104.9
Oct-20,105.3
Nov-20,106.3
Dec-20,107.2
Jan-21,108.4
Feb-21,108.5
Mar-21,108.2
Apr-21,108.1
May-21,108.1
Jun-21,108.3
Jul-21,108.8
Aug-21,109.4
Sep-21,109.3
Oct-21,109.5
Nov-21,110.2
Dec-21,110.5
Jan-22,111.7
Feb-22,111.8
Mar-22,112.5
Apr-22,113.4
May-22,113.9
Jun-22,114.9
Jul-22,115.8
Aug-22,116.3
Sep-22,116.8
Oct-22,117.9
Nov-22,119
Dec-22,119.4
Jan-23,121.4
Feb-23,121.4
Mar-23,121.1
Apr-23,120.9
May-23,120.9
Jun-23,121.1
Jul-23,121.2
Aug-23,122.5
Sep-23,123.9
Oct-23,123.7
Nov-23,123.9
Dec-23,124.1
Jan-24,124.8
Feb-24,125.5
Mar-24,125.6
Apr-24,125.5
May-24,125.6
Jun-24,125.6
Jul-24,126.5
Aug-24,126.6
Sep-24,126.3
Oct-24,126.5
Nov-24,127
Dec-24,127.7
Jan-25,128.4
Feb-25,128.1
Mar-25,127.8
Apr-25,127.3
May-25,127.2
Jun-25,127.3
Jul-25,127.7
Aug-25,128.5
Sep-25,128.5
Oct-25,128.6
Nov-25,128.9
Dec-25,130
