order,seasonal_order,MSE
"(0, 1, 0)","(0, 1, 0, 6)",13940185.73701477
"(0, 1, 0)","(1, 1, 0, 6)",15448746.336751034
"(0, 1, 1)","(0, 1, 1, 12)",22843666.85830615
"(1, 1, 2)","(0, 1, 1, 12)",22916454.334344078
"(0, 1, 1)","(1, 1, 0, 6)",24559154.24782769
