order,seasonal_order,MSE
"(2, 1, 0)","(0, 1, 0, 12)",18673315.435638715
"(2, 1, 1)","(1, 1, 1, 12)",19555771.869526133
"(2, 1, 1)","(0, 1, 0, 12)",19642301.485990237
"(2, 1, 0)","(1, 1, 1, 12)",19642380.231511623
"(2, 1, 0)","(1, 1, 0, 12)",19868566.605743524
