order,seasonal_order,MSE
"(0, 1, 1)","(0, 1, 0, 12)",186184266.63710248
"(1, 1, 1)","(0, 1, 0, 12)",189374316.81408378
"(1, 0, 2)","(0, 1, 0, 12)",193298998.42080733
"(1, 0, 1)","(1, 1, 1, 12)",195635470.65319526
"(1, 0, 1)","(1, 1, 0, 12)",196099458.38620272
